category,name,ingredients_inside,ingredients_on_top,description
Maki Rolls,California Roll,Kani (Imitation Crab);Cucumber;Avocado,,"Kani (Imitation Crab), Cucumber, Avocado"
Maki Rolls,Philly Roll,Salmon;Cucumber;Cream Cheese,,"Salmon, Cucumber, Cream Cheese"
Maki Rolls,Shrimp Tempura Roll,Shrimp Tempura;Cucumber;Avocado,Eel Sauce,"Shrimp Tempura, Cucumber, Avocado, topped with Eel Sauce"
Maki Rolls,Spicy Cali Roll,Kani (Imitation Crab);Cucumber;Avocado,Spicy Mayo,"Kani (Imitation Crab), Cucumber, Avocado, topped with Spicy Mayo"
Maki Rolls,Spicy Tuna Roll,Maguro (Tuna);Cucumber;Spicy Mayo,,"Maguro (Tuna), Cucumber, Spicy Mayo"
Maki Rolls,Sweet Potato Roll,Sweet Potato Tempura;Cucumber;Avocado,Eel Sauce,"Sweet Potato Tempura, Cucumber, Avocado, topped with Eel Sauce"
Specialty Rolls,Flying Tiger,Salmon;Asparagus,Avocado;Eel Sauce;Tobiko,"Salmon, Asparagus, topped with Avocado, Eel Sauce, Tobiko"
Specialty Rolls,Windy City Roll,Shrimp Tempura;Cucumber;Avocado,Salmon;Maguro (Tuna);Spicy Mayo;Eel Sauce;Green Onion,"Shrimp Tempura, Cucumber, Avocado, topped with Salmon, Maguro (Tuna), Spicy Mayo, Eel Sauce, Green Onion"
Specialty Rolls,Alaskan Volcano,Salmon;Avocado;Cucumber,Crab Salad;Tempura Flakes;Tobiko,"Salmon, Avocado, Cucumber, topped with Crab Salad, Tempura Flakes, Tobiko"
Specialty Rolls,Spicy Scallop Roll,Kani (Imitation Crab);Avocado,Spicy Scallops;Mozzarella Cheese,"Kani (Imitation Crab), Avocado, topped with Spicy Scallops, Mozzarella Cheese"
Specialty Rolls,Pacific Roll,Maguro (Tuna);Otoro (Fatty Tuna);Avocado;Asparagus;Chives,Maguro (Tuna),"Maguro (Tuna), Otoro (Fatty Tuna), Avocado, Asparagus, Chives, topped with Maguro (Tuna)"
Specialty Rolls,Inside Out Rainbow Roll,Maguro (Tuna);Salmon;Kanpachi,Avocado;Tobiko,"Maguro (Tuna), Salmon, Kanpachi, topped with Avocado, Tobiko"
Specialty Rolls,Wells St. Roll,Shrimp Tempura;Avocado,Maguro (Tuna);Spicy Mayo;Sprouts,"Shrimp Tempura, Avocado, topped with Maguro (Tuna), Spicy Mayo, Sprouts"
Appetizer,Hamachi Jalapeo,Hamachi (Yellowtail);Yuzu Juice,Minced Garlic;Jalapeo;Cilantro,"Hamachi (Yellowtail), Yuzu Juice, topped with Minced Garlic, Jalapeo, Cilantro"
Appetizer,Tuna Rice Bites,Maguro (Tuna);Lime;Green Onion;Tobiko,Avocado;Green Onion;Sweet Soy Sauce,"Maguro (Tuna), Lime, Green Onion, Tobiko, topped with Avocado, Green Onion, Sweet Soy Sauce"
Appetizer,Salmon Rice Bites,Salmon;Lime;Green Onion;Tobiko,Avocado;Spicy Mayo;Sweet Soy Sauce;Tobiko,"Salmon, Lime, Green Onion, Tobiko, topped with Avocado, Spicy Mayo, Sweet Soy Sauce, Tobiko"
Nigiri,Sake,Salmon,Nikiri Sauce;Lemon Zest,"Salmon, topped with Nikiri Sauce, Lemon Zest"
Nigiri,Zuke Sake,Marinated Salmon,Green Onion,"Marinated Salmon, topped with Green Onion"
Nigiri,Akami,Maguro (Tuna),Nikiri Sauce,"Maguro (Tuna), topped with Nikiri Sauce"
Nigiri,Otoro,Otoro (Fatty Tuna),Nikiri Sauce,"Otoro (Fatty Tuna), topped with Nikiri Sauce"
Nigiri,Hamachi,Hamachi (Yellowtail),Nikiri Sauce,"Hamachi (Yellowtail), topped with Nikiri Sauce"
Nigiri,Kanpachi,Kanpachi (Amberjack),Citrus Yuzu Sauce,"Kanpachi (Amberjack), topped with Citrus Yuzu Sauce"
Nigiri,Scallop,Scallop,Black Charcoal Salt,"Scallop, topped with Black Charcoal Salt"
